G,a,p,s
19
20
52
54
57
58
357
442
443
572
798
908
911
912
913
914
1020
1021
1436
2050
2065
2066
2377
2378
3266
3348
3350
3351
3352
3357
3358
3359
3361
3362
3366
3367
3911
3914
4239
4307
4308
4673
5064
5232
5251
5252
5253
6273
6460
6462
6463
6464
6465
6466
6468
6470
6471
6472
6473
6474
6514
6516
6517
6518
6519
6520
6521
6523
6524
6525
6907
6908
6909
6910
6913
6919
6936
6938
6940
6998
7298
7402
7434
7453
7478
7831
8071
8073
8075
8076
8077
8078
8079
8081
8083
8087
8089
8132
8134
8135
8136
8137
8138
8139
8140
8141
8142
8144
8145
8146
8147
8148
8152
8154
8156
8157
8158
8159
8161
8164
8165
8166
8170
8171
8172
8173
8176
8178
8179
8180
8181
8263
8264
8265
8266
8267
8268
8269
8270
8271
8273
8275
8276
8277
8278
8279
8280
8285
8377
8394
8395
8397
8699
9058
9062
9066
9068
9792
9917
10238
10239
10240
11445
11758
12126
12127
12324
12325
13047
13083
13549
13577
13578
13579
13582
13583
13585
13586
13587
13588
13589
13590
13591
13592
13594
13595
13596
13597
13598
13599
13605
13606
14329
14330
14331
14336
14337
14338
14341
14342
14343
14344
14465
14466
14467
14585
14695
15085
15156
15249
15420
15685
15686
15687
15688
15689
15690
15691
15692
15693
15694
15695
15696
15698
15699
15700
15701
15702
15704
15705
15707
15709
15711
15713
15714
15715
15726
15727
15728
15729
15730
15732
15734
15735
15737
15738
15739
15741
15743
15750
15751
15752
15757
15759
15763
16139
16140
16141
16142
16383
16475
16476
16853
16854
16869
16870
16872
16873
16895
16896
17031
17289
17290
17291
17292
17293
17336
17601
17603
17721
18002
18012
18020
18022
18027
18087
18119
18620
18622
18683
18687
18697
18698
18699
18700
18703
18704
18708
18712
18713
18714
18718
18719
18720
18724
18842
18875
18876
18877
19078
19108
19245
19246
19248
19251
19252
19259
19959
20227
20228
20229
20232
20234
20235
20236
20239
20240
20478
20479
20480
20482
20483
20742
21172
21446
21494
21495
21496
22091
22098
22114
22115
22117
22118
22127
22129
22137
22153
22242
22511
22924
23034
23217
23850
23851
24050
24323
24325
24326
24327
24328
24441
24501
24525
24527
24528
24529
24531
24533
25101
25104
25274
25434
25947
25948
26512
26519
26564
26565
26566
26567
26978
27455
27552
27599
27600
27601
27725
27726
27727
27738
27739
27741
27742
27743
27744
27745
27746
27750
27751
27753
27754
27756
27757
27759
27760
27761
27762
27763
27764
27765
29038
29039
29041
29044
29058
29059
29060
29061
29062
29063
29067
29068
29069
29071
29072
29073
29083
29090
29091
29093
29096
29098
29100
29101
29104
29112
29130
29131
29132
29133
29139
29140
29141
29143
29145
29146
29147
29149
29155
29156
29160
29161
29168
29169
29170
29171
29174
29179
29182
29187
29193
29195
29200
29201
29202
29204
29205
29209
29210
29316
29317
29320
29321
29323
29326
29328
29348
29678
29682
29714
29715
29716
29717
29718
29719
29724
30129
30131
30132
30133
30134
30135
30136
30137
30139
30140
30143
30144
30146
30207
30208
30209
30210
30211
30216
30219
30220
30221
30223
30232
30233
30234
30235
30237
30238
30240
30244
30245
30248
30249
30267
30752
31245
31296
31298
31300
31301
31305
31306
31309
31310
31311
31312
31313
31314
31317
31320
31323
31325
31326
31327
31823
31828
31835
31838
31842
31844
33209
33210
33211
33212
33213
33214
33215
33218
33220
33225
33227
33228
33230
33467
33743
33745
33748
33751
33752
33753
33754
33755
33756
33757
33760
33771
33773
33774
33775
34597
34945
34956
34957
34958
34959
34961
34962
34963
34964
34966
34968
34969
34971
34973
34974
34975
34976
34978
34980
34981
34982
34983
34986
34988
34989
34991
34992
34993
34996
34998
34999
35007
35011
35012
35014
35017
35018
35021
35023
35024
35895
36048
36128
37128
37142
37314
37604
37605
37606
37607
37608
37610
37612
37613
37767
37768
38229
38674
38848
38849
38850
38852
38853
38854
38855
38862
38865
38888
38999
39126
39129
39130
39138
40227
40228
41387
41588
41589
42203
42870
43575
44351
45966
46076
46145
46652
46815
47814
47989
48087
48304
48406
48421
48423
48716
48717
48719
48923
48934
48935
48939
48969
49941
50714
51292
51380
51660
52591
52993
53317
53336
53400
53653
54314
54368
54810
54846
55147
55148
55149
55150
55330
55683
55684
55685
56124
56354
56379
57251
57393
57560
57561
57565
58502
58503
58522
58622
58623
58910
58993
59203
59210
59214
61167
62106
62685
62709
62756
64314
64315
64496
64597
69974
70014
71097
71240
72633
73406
73798
73799
73800
73972
74580
74954
75373
75959
75961
76310
76314
77537
77539
77776
77796
77896
77897
78826
78931
79467
79468
79471
79476
79535
79605
79673
79755
79949
80076
81218
81252
81269
83034
83214
83356
84457
84696
88115
88316
89015
89062
90479
91659
91961
92646
93891
95684
95732
95737
95966
95967
95968
96177
96184
96190
96202
96203
96204
96205
96206
96207
96208
96209
96210
96211
96212
96213
96214
96215
96446
96459
96460
96721
96758
97608
97726
98513
99455
100884
101182
101354
101545
102876
103055
103690
103691
103910
104198
104963
104970
105145
105203
105445
106233
106570
106664
106841
106968
107658
108085
108346
108568
108710
109038
109228
109387
109848
110065
110566
110567
110568
110569
110570
110620
110681
110850
111019
111129
112016
112031
112376
112413
112538
113209
114125
114159
114160
114467
117661
117745
118017
118418
118770
118795
118798
121641
121657
123398
123399
124166
126924
127237
128272
131080
131483
132626
132646
132721
136601
138316
138354
138522
138965
139057
139237
139401
141492
141503
141506
143021
145140
145158
146962
147998
148072
149090
151256
152474
152487
153781
153995
154695
155212
155306
156230
157229
157357
157604
157960
158086
158088
159092
159236
159372
160606
160607
162813
164139
165676
166527
175359
175361
177282
178105
178106
178272
178362
180739
180922
180923
181213
181242
182367
182447
183225
184465
185657
185911
187228
187862
190714
191530
192362
192713
192730
196212
197357
197380
197397
198169
198172
198228
198233
199634
199635
199761
199831
199841
202690
202890
202891
203935
205442
205921
207574
207740
209740
210314
210315
210316
210375
210478
210596
212271
212399
212438
213151
213391
214073
214113
214539
217315
217329
217775
218424
219296
219297
220732
220812
220825
220847
220873
220874
220927
221145
222801
222802
222827
222828
222829
222878
222879
222880
222881
222882
222962
222980
223001
223060
223848
223897
224076
224481
225066
225280
225381
225412
225435
225436
226897
226978
226990
227114
227203
228536
229666
229667
231157
232279
232336
233790
233791
233792
233793
233817
235076
236920
237900
238731
238752
238778
239123
239125
240347
240552
240593
241805
243566
244002
245560
247425
247427
247430
247433
248779
248802
249317
251282
253493
253661
253662
253664
253665
255319
255868
258974
263697
265398
267738
267985
269327
270307
280473
283605
284216
289216
289298
289329
289330
289332
289333
290324
290326
291318
291474
292732
293177
293752
293848
293896
293976
293981
295300
295323
295324
295326
295327
295409
295442
295443
295449
295462
296467
296541
296577
296627
296666
296794
297388
297507
297721
297722
299037
299417
299930
300013
300024
301012
301175
301177
301276
301277
301279
301966
302581
302599
302713
302714
302918
303328
305413
305417
306392
306403
306494
306503
306509
306513
306544
306562
306566
307855
309187
309191
309196
309197
309212
309220
309235
309244
309245
309250
309251
309700
309742
310710
310810
310811
310814
310815
310816
310820
311377
312528
314455
314474
315695
315777
315798
315803
319032
319364
319366
322564
323813
323951
324714
329074
329967
331539
333430
333480
335155
335188
336655
336670
337869
339379
339381
341431
341868
344272
344279
344282
348427
349755
350139
350235
351213
353914
355923
356541
361220
362254
362653
363446
364786
364787
365225
369104
370204
370225
371048
371049
371051
371053
371055
371350
371351
372134
372406
372407
374078
374079
374130
375078
375320
375432
376007
376481
377455
377468
377476
377478
377522
377956
378365
378402
378894
378902
378992
380023
380481
380862
382042
382049
382170
382240
382291
383140
384505
384773
384934
384935
386001
386034
386037
386038
386039
386040
386045
386050
386051
386059
386060
386102
386649
387208
387670
388256
389979
390924
390925
391552
391553
391555
391562
391627
392977
394978
395455
395460
396108
396110
401170
401263
